Raw Roll, Raw Pitch, Raw Yar, Raw X, Raw Y, Raw Z, DMP Roll, DMP Pitch, DMP Yaw
-32.43158,-966.1625,-58.030365,698.3499,16193.885,51.911224,-1.5901947,-0.04949951,0.09033203,
-32.857483,-966.1741,-58.072174,698.2936,16195.702,51.31865,-1.5901947,-0.04949951,0.09011841,
-33.27896,-966.187,-58.11238,698.04297,16194.4375,47.58612,-1.5901947,-0.04949951,0.090026855,
-33.64081,-966.19867,-58.14357,697.81744,16192.8,44.926697,-1.5901947,-0.04949951,0.090026855,
-34.027924,-966.21124,-58.1772,696.9146,16191.126,43.233063,-1.5901947,-0.04949951,0.089782715,
-34.39427,-966.2226,-58.21045,695.1023,16189.52,42.008728,-1.5901947,-0.04949951,0.089782715,
-35.43007,-966.2454,-58.30258,694.3403,16186.527,42.101883,-1.5900116,-0.04949951,0.089263916,
-35.841324,-966.2534,-58.341766,695.9846,16190.279,45.18965,-1.5898285,-0.04949951,0.088653564,
-36.217102,-966.25946,-58.376144,696.16486,16190.657,38.770874,-1.5898285,-0.04949951,0.088531494,
-36.560287,-966.2649,-58.40709,696.627,16190.298,34.19371,-1.5898285,-0.04949951,0.088531494,
-36.89801,-966.2707,-58.434525,697.4428,16192.473,36.07283,-1.5898285,-0.04949951,0.08831787,
-37.14209,-966.27295,-58.44725,698.57697,16197.03,43.162704,-1.5898285,-0.04949951,0.08831787,
-37.295914,-966.26904,-58.44673,698.8978,16198.832,47.24411,-1.5897064,-0.04949951,0.08786011,
-37.44879,-966.26605,-58.448837,697.58704,16201.554,50.517456,-1.5893707,-0.049438477,0.0871582,
-37.75609,-966.2709,-58.4682,696.80725,16203.703,50.364197,-1.5891571,-0.049438477,0.08657837,
-38.11479,-966.2777,-58.495605,697.10516,16201.139,44.42769,-1.5891571,-0.049438477,0.086364746,
-38.47255,-966.2839,-58.52774,696.5735,16200.431,41.68422,-1.5892487,-0.049438477,0.08642578,
-38.864365,-966.2919,-58.56665,696.095,16200.293,40.214874,-1.5892792,-0.049438477,0.086364746,
-39.24942,-966.29913,-58.60666,696.1642,16198.27,36.39308,-1.5892792,-0.049438477,0.086364746,
-39.719162,-966.30994,-58.655853,696.3265,16198.049,35.95276,-1.5893707,-0.049438477,0.08642578,
